,body,clusters_0,sentiment_positive_score,sentiment_negative_score,sentiment_combined_score,sentiment_summary,published_date,post_type,total_engagement,comments,shares,likes,author_gender,followers
718,"So NHS workers now resent the British public for showing support in clapping last May as it hasn’t bought them a good enough pay rise! In a pandemic, where the government is struggling and people are losing their jobs daily. That’s nice of them. A rise is a rise. ungrateful",Poor Pay,2.489123217,2.581191248,-0.38289408,negative,2021-03-05,Original,4,0,0,4,Male,406
416,"Tories: we want wages to rise! They've been too low for too long! UC recipients: Oh that sounds good. When do we get that? Tories: not you. In fact, give us that ""bonus"" money back.",Leaseholding,4.756603815,1.277755617,0.967855224,positive,2021-10-06,Original,2,0,0,2,Female,262
415,It's ok for Salmond/ Murrells to shout for independence because they've got plenty in the the bank and nice state paid pension pots. It's the poor SNP minion voters that will pay the poverty price 👍 Crack on don't say you weren't warned.,State Pension,6.544172512,1.788857864,0.950424019,positive,2021-04-11,Original,3,0,1,2,Unknown,279
414,Sad but true. I don’t blame UK doctors for moving to Australia or Canada for better pay and better quality of life. The NHS pay for healthcare workers as a whole is pretty bad.,State Pension,3.514792871,3.687416069,-0.394518954,negative,2021-07-03,Original,2,1,0,1,Unknown,354
413,Mmhh 🤔 you know who has always really cared about the plight of the people of Afghanistan? Corbyn. His concern for the plight of Palestinians?People of Yemen?We had a chance to have decency we chose rot. Sadly others paying for our poor & selfish choices.,Leaseholding,1.734928385,5.14010293,-1.432680559,negative,2021-08-28,Original,3,0,1,2,Male,360
412,"Poor Health minister, hope the fall wasn't too painful, but, looked like it was, considering where you landed on the handlebars of your privately paid for scooter. You do have fully paid up health insurance, yes? So you could well afford a nee naw 🚑",Mental Health,4.348009731,0.769330949,1.385378656,positive,2021-09-16,Original,2,0,0,2,Unknown,439
713,"🚍 Stagecoach has £millions in the bank but says drivers don't deserve a fair wage. It's on the road to strikes at 18 depots. , warns it to get ready for a relentless campaign to protect our members' pay. Support our drivers by sharing this message. BadBossesBeware ,",Poor Pay,5.549371117,3.187134804,0.207988686,neutral,2021-09-23,Original,1,0,1,0,Unknown,1834
411,"Exams, someone in a ""unskilled"" job getting a decent wage for the job they are doing?? How dare! Yes, how dare it take a crisis like we have now for this to be. Wages in this country are a joke and are kept low by the rich shareholders of companies.",Rich People,6.911446191,1.318853056,1.309842853,positive,2021-09-03,Original,15,3,3,9,Unknown,441
410,"It’s heartbreaking seeing the news of the Covid deaths in India. I hope the people put their differences aside & work together. Too many lives have already been lost, those of low income who are already struggling will be hit the worst. CovidIndia 🙏🏽",Low Income Families,2.795653285,5.803514702,-1.076971495,negative,2021-04-22,Original,0,0,0,0,Female,515
409,"It might be a group of people or someone on their own. It could be unequal pay, unconscious bias, bullying, casual racism, classism, sexism, poor sustainability. All the bad shit. It’s important to educate others and let them know what’s not OK and why. … , ,",Low Income Families,1.927698206,3.837045127,-1.034949511,negative,2020-11-25,Original,0,0,0,0,Unknown,540
